,Form,Topic Category,Rank,Type,Polarity
16095,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
16096,location,concept,2,Top>Location>Address,P
16097,floor,concept,3,Top>Location,P
16098,location,concept,4,Top>Location,P
16099,city,concept,5,Top>Location>GeoPoliticalEntity>City,P
16101,service,concept,7,Top>Product>ProfessionalService,P+
16102,area,concept,8,Top>Location,P
16104,room,concept,10,Top>Location>Facility,P
16105,hall,concept,11,Top>Location>Facility,P+
16107,room,concept,13,Top>Location>Facility,P
16112,friendly,concept,5,Top,P
16113,service,concept,6,Top>Product>ProfessionalService,P
16118,chance,concept,2,Top>OtherEntity,N
16120,food,concept,4,Top>Product>Food,P+
16121,staff,concept,5,Top>Organization,P+
16123,room,concept,7,Top>Location>Facility,P+
16124,room,concept,8,Top>Location>Facility,P+
16126,Gazebo restaurant,entity,2,Top>Location>Facility,P
16127,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
16128,location,concept,2,Top>Location>Address,P
16129,floor,concept,3,Top>Location,P
16130,location,concept,4,Top>Location,P
16131,city,concept,5,Top>Location>GeoPoliticalEntity>City,P
16133,service,concept,7,Top>Product>ProfessionalService,P+
16134,area,concept,8,Top>Location,P
16136,room,concept,10,Top>Location>Facility,P
16137,hall,concept,11,Top>Location>Facility,P+
16139,room,concept,13,Top>Location>Facility,P
16144,friendly,concept,5,Top,P
16145,service,concept,6,Top>Product>ProfessionalService,P
16150,chance,concept,2,Top>OtherEntity,N
16152,food,concept,4,Top>Product>Food,P+
16153,staff,concept,5,Top>Organization,P+
16155,room,concept,7,Top>Location>Facility,P+
16156,room,concept,8,Top>Location>Facility,P+
16158,Gazebo restaurant,entity,2,Top>Location>Facility,P
16159,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
16160,location,concept,2,Top>Location>Address,P
16161,floor,concept,3,Top>Location,P
16162,location,concept,4,Top>Location,P
