,Form,Topic Category,Rank,Type,Polarity
276,economy,concept,13,Top>OtherEntity>Doctrine>Academic,P
277,room,concept,14,Top>Location>Facility,P
279,room,concept,16,Top>Location>Facility,P
282,Shephed Hotel,entity,3,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
284,Shepherd Hotel,entity,5,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
287,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
288,access,concept,3,Top>Process,P
289,stratum,concept,4,Top,P
293,trip,concept,8,Top,P
294,stratum,concept,9,Top,P
299,class,concept,14,Top,P
300,food,concept,15,Top>Product>Food,P
310,market,concept,1,Top>Location>Facility>Market,P
311,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
312,street,concept,3,Top>Location>Facility>Line,P
313,kind,concept,4,Top>Organization,P
314,bed,concept,5,Top>Location>GeographicalEntity>WaterForm>Channel,P
315,couple,concept,6,Top>Organization,P
316,kind,concept,7,Top>OtherEntity>Class,P
317,bakery,concept,8,Top>Location>Facility,P
322,bread,concept,13,Top>Product>Food>CookedPlate,P
325,room,concept,16,Top>Location>Facility,P
327,room,concept,18,Top>Location>Facility,P
328,wave,concept,19,Top>Event>NaturalPhenomena,P
329,Israel,entity,1,Top>Location>GeoPoliticalEntity>Country,P
332,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
335,group,concept,5,Top>Organization,P
342,food,concept,12,Top>Product>Food,P
344,load,concept,14,Top>Unit>WeightUnit,P
345,staff,concept,15,Top>Organization,P
347,Wi-Fi,concept,17,Top>OtherEntity>MethodSystem,P
348,tourist,concept,18,Top>Person,P
352,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
358,place,concept,7,Top>Location,P
359,staff,concept,8,Top>Organization,P
360,friendly,concept,9,Top,P
361,bathroom,concept,10,Top>Location>Facility,P
364,room,concept,13,Top>Location>Facility,P
366,room,concept,15,Top>Location>Facility,P
369,Shepherd hotel,entity,3,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
372,group,concept,3,Top>Organization,P
